CODIGO,DIST_CONC_FREG,T_ELEI,D_ELEI,SIGLA,T_DADOS,VOTOS,P_VOTOS
10000,AVEIRO,pe,13/06/2004,PPM,O,970,0.44
10000,AVEIRO,pe,13/06/2004,P.N.R.,O,523,0.24
10000,AVEIRO,pe,13/06/2004,PPD/PSD.CDS-PP,O,92031,41.43
10000,AVEIRO,pe,13/06/2004,B.E.,O,7977,3.59
10000,AVEIRO,pe,13/06/2004,PDA,O,383,0.17
10000,AVEIRO,pe,13/06/2004,MPT,O,757,0.34
10000,AVEIRO,pe,13/06/2004,PCP-PEV,O,8840,3.98
10000,AVEIRO,pe,13/06/2004,PCTP/MRPP,O,1696,0.76
10000,AVEIRO,pe,13/06/2004,PS,O,94286,42.44
10000,AVEIRO,pe,13/06/2004,P.H.,O,926,0.42
10000,AVEIRO,pe,13/06/2004,MD,O,844,0.38
10000,AVEIRO,pe,13/06/2004,POUS,O,298,0.13
20000,BEJA,pe,13/06/2004,PND,O,164,0.32
20000,BEJA,pe,13/06/2004,PPM,O,211,0.41
20000,BEJA,pe,13/06/2004,P.N.R.,O,87,0.17
20000,BEJA,pe,13/06/2004,PPD/PSD.CDS-PP,O,6999,13.46
20000,BEJA,pe,13/06/2004,B.E.,O,1690,3.25
20000,BEJA,pe,13/06/2004,PDA,O,70,0.13
20000,BEJA,pe,13/06/2004,MPT,O,173,0.33
20000,BEJA,pe,13/06/2004,PCP-PEV,O,15389,29.58
20000,BEJA,pe,13/06/2004,PCTP/MRPP,O,1667,3.20
20000,BEJA,pe,13/06/2004,PS,O,23573,45.32
20000,BEJA,pe,13/06/2004,P.H.,O,149,0.29
20000,BEJA,pe,13/06/2004,MD,O,138,0.27
20000,BEJA,pe,13/06/2004,POUS,O,53,0.10
30000,BRAGA,pe,13/06/2004,PND,O,3799,1.34
30000,BRAGA,pe,13/06/2004,PPM,O,1097,0.39
30000,BRAGA,pe,13/06/2004,P.N.R.,O,792,0.28
30000,BRAGA,pe,13/06/2004,PPD/PSD.CDS-PP,O,108840,38.47
30000,BRAGA,pe,13/06/2004,B.E.,O,8426,2.98
30000,BRAGA,pe,13/06/2004,PDA,O,535,0.19
30000,BRAGA,pe,13/06/2004,MPT,O,843,0.30
30000,BRAGA,pe,13/06/2004,PCP-PEV,O,13834,4.89
30000,BRAGA,pe,13/06/2004,PCTP/MRPP,O,2700,0.95
30000,BRAGA,pe,13/06/2004,PS,O,130453,46.11
30000,BRAGA,pe,13/06/2004,P.H.,O,1455,0.51
30000,BRAGA,pe,13/06/2004,MD,O,992,0.35
30000,BRAGA,pe,13/06/2004,POUS,O,399,0.14
