CODIGO,DIST_CONC_FREG,T_ELEI,D_ELEI,SIGLA,T_DADOS,VOTOS,P_VOTOS
40000,BRAGANÇA,pe,13/06/2004,PND,O,515,1.09
40000,BRAGANÇA,pe,13/06/2004,PPM,O,236,0.50
40000,BRAGANÇA,pe,13/06/2004,P.N.R.,O,156,0.33
40000,BRAGANÇA,pe,13/06/2004,PPD/PSD.CDS-PP,O,21824,46.15
40000,BRAGANÇA,pe,13/06/2004,B.E.,O,991,2.10
40000,BRAGANÇA,pe,13/06/2004,PDA,O,126,0.27
40000,BRAGANÇA,pe,13/06/2004,MPT,O,163,0.34
40000,BRAGANÇA,pe,13/06/2004,PCP-PEV,O,1280,2.71
40000,BRAGANÇA,pe,13/06/2004,PCTP/MRPP,O,380,0.80
40000,BRAGANÇA,pe,13/06/2004,PS,O,19162,40.52
40000,BRAGANÇA,pe,13/06/2004,P.H.,O,297,0.63
40000,BRAGANÇA,pe,13/06/2004,MD,O,190,0.40
40000,BRAGANÇA,pe,13/06/2004,POUS,O,66,0.14
50000,CASTELO BRANCO,pe,13/06/2004,PND,O,565,0.78
50000,CASTELO BRANCO,pe,13/06/2004,PPM,O,336,0.46
50000,CASTELO BRANCO,pe,13/06/2004,P.N.R.,O,207,0.28
50000,CASTELO BRANCO,pe,13/06/2004,PPD/PSD.CDS-PP,O,23372,32.15
50000,CASTELO BRANCO,pe,13/06/2004,B.E.,O,2280,3.14
50000,CASTELO BRANCO,pe,13/06/2004,PDA,O,128,0.18
50000,CASTELO BRANCO,pe,13/06/2004,MPT,O,231,0.32
50000,CASTELO BRANCO,pe,13/06/2004,PCP-PEV,O,3616,4.97
50000,CASTELO BRANCO,pe,13/06/2004,PCTP/MRPP,O,710,0.98
50000,CASTELO BRANCO,pe,13/06/2004,PS,O,37318,51.34
50000,CASTELO BRANCO,pe,13/06/2004,P.H.,O,349,0.48
50000,CASTELO BRANCO,pe,13/06/2004,MD,O,266,0.37
50000,CASTELO BRANCO,pe,13/06/2004,POUS,O,99,0.14
60000,COIMBRA,pe,13/06/2004,PND,O,1104,0.80
60000,COIMBRA,pe,13/06/2004,PPM,O,542,0.39
60000,COIMBRA,pe,13/06/2004,P.N.R.,O,221,0.16
60000,COIMBRA,pe,13/06/2004,PPD/PSD.CDS-PP,O,44595,32.44
60000,COIMBRA,pe,13/06/2004,B.E.,O,6770,4.92
60000,COIMBRA,pe,13/06/2004,PDA,O,204,0.15
60000,COIMBRA,pe,13/06/2004,MPT,O,449,0.33
60000,COIMBRA,pe,13/06/2004,PCP-PEV,O,8240,5.99
60000,COIMBRA,pe,13/06/2004,PCTP/MRPP,O,1192,0.87
60000,COIMBRA,pe,13/06/2004,PS,O,66628,48.46
60000,COIMBRA,pe,13/06/2004,P.H.,O,419,0.30
60000,COIMBRA,pe,13/06/2004,MD,O,431,0.31
60000,COIMBRA,pe,13/06/2004,POUS,O,142,0.10
70000,ÉVORA,pe,13/06/2004,PND,O,239,0.42
70000,ÉVORA,pe,13/06/2004,PPM,O,222,0.39
70000,ÉVORA,pe,13/06/2004,P.N.R.,O,103,0.18
70000,ÉVORA,pe,13/06/2004,PPD/PSD.CDS-PP,O,10485,18.30
70000,ÉVORA,pe,13/06/2004,B.E.,O,1895,3.31
70000,ÉVORA,pe,13/06/2004,PDA,O,35,0.06
70000,ÉVORA,pe,13/06/2004,MPT,O,194,0.34
70000,ÉVORA,pe,13/06/2004,PCP-PEV,O,15247,26.61
70000,ÉVORA,pe,13/06/2004,PCTP/MRPP,O,1487,2.59
70000,ÉVORA,pe,13/06/2004,P.H.,O,148,0.26
70000,ÉVORA,pe,13/06/2004,MD,O,170,0.30
70000,ÉVORA,pe,13/06/2004,POUS,O,41,0.07
80000,FARO,pe,13/06/2004,PND,O,660,0.64
80000,FARO,pe,13/06/2004,PPM,O,517,0.50
80000,FARO,pe,13/06/2004,P.N.R.,O,266,0.26
80000,FARO,pe,13/06/2004,PPD/PSD.CDS-PP,O,28759,27.82
80000,FARO,pe,13/06/2004,B.E.,O,6018,5.82
80000,FARO,pe,13/06/2004,PDA,O,178,0.17
80000,FARO,pe,13/06/2004,MPT,O,575,0.56
80000,FARO,pe,13/06/2004,PCP-PEV,O,8098,7.83
80000,FARO,pe,13/06/2004,PCTP/MRPP,O,1378,1.33
80000,FARO,pe,13/06/2004,PS,O,50876,49.22
80000,FARO,pe,13/06/2004,P.H.,O,428,0.41
80000,FARO,pe,13/06/2004,MD,O,517,0.50
80000,FARO,pe,13/06/2004,POUS,O,149,0.14
90000,GUARDA,pe,13/06/2004,PND,O,621,1.01
90000,GUARDA,pe,13/06/2004,PPM,O,340,0.55
90000,GUARDA,pe,13/06/2004,P.N.R.,O,244,0.40
90000,GUARDA,pe,13/06/2004,PPD/PSD.CDS-PP,O,24762,40.13
90000,GUARDA,pe,13/06/2004,B.E.,O,1609,2.61
90000,GUARDA,pe,13/06/2004,PDA,O,178,0.29
90000,GUARDA,pe,13/06/2004,MPT,O,243,0.39
90000,GUARDA,pe,13/06/2004,PCP-PEV,O,1945,3.15
90000,GUARDA,pe,13/06/2004,PCTP/MRPP,O,530,0.86
90000,GUARDA,pe,13/06/2004,PS,O,27633,44.78
90000,GUARDA,pe,13/06/2004,P.H.,O,380,0.62
90000,GUARDA,pe,13/06/2004,MD,O,282,0.46
90000,GUARDA,pe,13/06/2004,POUS,O,96,0.16
100000,LEIRIA,pe,13/06/2004,PND,O,1509,1.09
100000,LEIRIA,pe,13/06/2004,PPM,O,650,0.47
100000,LEIRIA,pe,13/06/2004,P.N.R.,O,368,0.27
100000,LEIRIA,pe,13/06/2004,PPD/PSD.CDS-PP,O,61172,44.27
100000,LEIRIA,pe,13/06/2004,B.E.,O,5908,4.28
100000,LEIRIA,pe,13/06/2004,PDA,O,302,0.22
100000,LEIRIA,pe,13/06/2004,MPT,O,591,0.43
100000,LEIRIA,pe,13/06/2004,PCP-PEV,O,7310,5.29
100000,LEIRIA,pe,13/06/2004,PCTP/MRPP,O,1056,0.76
100000,LEIRIA,pe,13/06/2004,PS,O,50675,36.67
100000,LEIRIA,pe,13/06/2004,P.H.,O,579,0.42
100000,LEIRIA,pe,13/06/2004,MD,O,626,0.45
100000,LEIRIA,pe,13/06/2004,POUS,O,172,0.12
110000,LISBOA,pe,13/06/2004,PND,O,7326,0.99
110000,LISBOA,pe,13/06/2004,PPM,O,3860,0.52
110000,LISBOA,pe,13/06/2004,P.N.R.,O,2067,0.28
110000,LISBOA,pe,13/06/2004,PPD/PSD.CDS-PP,O,214913,29.09
110000,LISBOA,pe,13/06/2004,B.E.,O,56277,7.62
110000,LISBOA,pe,13/06/2004,PDA,O,754,0.10
110000,LISBOA,pe,13/06/2004,MPT,O,3897,0.53
110000,LISBOA,pe,13/06/2004,PCP-PEV,O,85362,11.55
110000,LISBOA,pe,13/06/2004,PCTP/MRPP,O,7455,1.01
110000,LISBOA,pe,13/06/2004,PS,O,323103,43.73
110000,LISBOA,pe,13/06/2004,P.H.,O,1738,0.24
110000,LISBOA,pe,13/06/2004,MD,O,2868,0.39
110000,LISBOA,pe,13/06/2004,POUS,O,689,0.09
120000,PORTALEGRE,pe,13/06/2004,PND,O,230,0.56
120000,PORTALEGRE,pe,13/06/2004,PPM,O,203,0.49
120000,PORTALEGRE,pe,13/06/2004,P.N.R.,O,76,0.18
120000,PORTALEGRE,pe,13/06/2004,PPD/PSD.CDS-PP,O,9501,22.95
120000,PORTALEGRE,pe,13/06/2004,B.E.,O,1091,2.64
120000,PORTALEGRE,pe,13/06/2004,PDA,O,40,0.10
120000,PORTALEGRE,pe,13/06/2004,MPT,O,140,0.34
120000,PORTALEGRE,pe,13/06/2004,PCP-PEV,O,6423,15.51
120000,PORTALEGRE,pe,13/06/2004,PCTP/MRPP,O,775,1.87
120000,PORTALEGRE,pe,13/06/2004,PS,O,21158,51.10
120000,PORTALEGRE,pe,13/06/2004,P.H.,O,133,0.32
120000,PORTALEGRE,pe,13/06/2004,MD,O,119,0.29
120000,PORTALEGRE,pe,13/06/2004,POUS,O,32,0.08
130000,PORTO,pe,13/06/2004,PND,O,6673,1.11
130000,PORTO,pe,13/06/2004,PPM,O,2111,0.35
130000,PORTO,pe,13/06/2004,P.N.R.,O,1095,0.18
130000,PORTO,pe,13/06/2004,PPD/PSD.CDS-PP,O,196477,32.78
130000,PORTO,pe,13/06/2004,B.E.,O,28757,4.80
130000,PORTO,pe,13/06/2004,PDA,O,728,0.12
130000,PORTO,pe,13/06/2004,MPT,O,1968,0.33
130000,PORTO,pe,13/06/2004,PCP-PEV,O,38844,6.48
130000,PORTO,pe,13/06/2004,PCTP/MRPP,O,5107,0.85
130000,PORTO,pe,13/06/2004,PS,O,290532,48.47
130000,PORTO,pe,13/06/2004,P.H.,O,2092,0.35
130000,PORTO,pe,13/06/2004,MD,O,2349,0.39
130000,PORTO,pe,13/06/2004,POUS,O,665,0.11
140000,SANTARÉM,pe,13/06/2004,PND,O,1280,0.87
140000,SANTARÉM,pe,13/06/2004,PPM,O,775,0.53
140000,SANTARÉM,pe,13/06/2004,P.N.R.,O,345,0.23
140000,SANTARÉM,pe,13/06/2004,PPD/PSD.CDS-PP,O,46063,31.30
140000,SANTARÉM,pe,13/06/2004,B.E.,O,6594,4.48
140000,SANTARÉM,pe,13/06/2004,MPT,O,642,0.44
140000,SANTARÉM,pe,13/06/2004,PCP-PEV,O,15254,10.37
140000,SANTARÉM,pe,13/06/2004,PCTP/MRPP,O,1951,1.33
140000,SANTARÉM,pe,13/06/2004,PS,O,65870,44.76
140000,SANTARÉM,pe,13/06/2004,P.H.,O,540,0.37
140000,SANTARÉM,pe,13/06/2004,MD,O,619,0.42
140000,SANTARÉM,pe,13/06/2004,POUS,O,189,0.13
150000,SETÚBAL,pe,13/06/2004,PND,O,1882,0.73
150000,SETÚBAL,pe,13/06/2004,PPM,O,1058,0.41
150000,SETÚBAL,pe,13/06/2004,P.N.R.,O,580,0.23
150000,SETÚBAL,pe,13/06/2004,PPD/PSD.CDS-PP,O,44581,17.36
150000,SETÚBAL,pe,13/06/2004,B.E.,O,18576,7.24
150000,SETÚBAL,pe,13/06/2004,PDA,O,339,0.13
150000,SETÚBAL,pe,13/06/2004,MPT,O,1093,0.43
150000,SETÚBAL,pe,13/06/2004,PCP-PEV,O,64134,24.98
150000,SETÚBAL,pe,13/06/2004,PCTP/MRPP,O,4465,1.74
150000,SETÚBAL,pe,13/06/2004,PS,O,109335,42.58
150000,SETÚBAL,pe,13/06/2004,P.H.,O,509,0.20
150000,SETÚBAL,pe,13/06/2004,MD,O,1011,0.39
150000,SETÚBAL,pe,13/06/2004,POUS,O,223,0.09
160000,VIANA DO CASTELO,pe,13/06/2004,PND,O,1130,1.37
160000,VIANA DO CASTELO,pe,13/06/2004,PPM,O,436,0.53
160000,VIANA DO CASTELO,pe,13/06/2004,P.N.R.,O,265,0.32
160000,VIANA DO CASTELO,pe,13/06/2004,PPD/PSD.CDS-PP,O,33252,40.18
160000,VIANA DO CASTELO,pe,13/06/2004,B.E.,O,2867,3.46
160000,VIANA DO CASTELO,pe,13/06/2004,PDA,O,231,0.28
160000,VIANA DO CASTELO,pe,13/06/2004,MPT,O,276,0.33
160000,VIANA DO CASTELO,pe,13/06/2004,PCP-PEV,O,4152,5.02
160000,VIANA DO CASTELO,pe,13/06/2004,PCTP/MRPP,O,766,0.93
160000,VIANA DO CASTELO,pe,13/06/2004,PS,O,35046,42.35
160000,VIANA DO CASTELO,pe,13/06/2004,P.H.,O,595,0.72
160000,VIANA DO CASTELO,pe,13/06/2004,MD,O,416,0.50
160000,VIANA DO CASTELO,pe,13/06/2004,POUS,O,114,0.14
170000,VILA REAL,pe,13/06/2004,PND,O,704,0.95
170000,VILA REAL,pe,13/06/2004,PPM,O,357,0.48
170000,VILA REAL,pe,13/06/2004,P.N.R.,O,219,0.30
170000,VILA REAL,pe,13/06/2004,PPD/PSD.CDS-PP,O,32766,44.25
170000,VILA REAL,pe,13/06/2004,B.E.,O,1680,2.27
170000,VILA REAL,pe,13/06/2004,PDA,O,188,0.25
170000,VILA REAL,pe,13/06/2004,MPT,O,195,0.26
170000,VILA REAL,pe,13/06/2004,PCP-PEV,O,2011,2.72
170000,VILA REAL,pe,13/06/2004,PCTP/MRPP,O,566,0.76
170000,VILA REAL,pe,13/06/2004,PS,O,31750,42.87
170000,VILA REAL,pe,13/06/2004,P.H.,O,575,0.78
170000,VILA REAL,pe,13/06/2004,MD,O,251,0.34
170000,VILA REAL,pe,13/06/2004,POUS,O,123,0.17
180000,VISEU,pe,13/06/2004,PND,O,1163,1.02
180000,VISEU,pe,13/06/2004,PPM,O,555,0.49
180000,VISEU,pe,13/06/2004,P.N.R.,O,298,0.26
180000,VISEU,pe,13/06/2004,PPD/PSD.CDS-PP,O,51442,45.20
180000,VISEU,pe,13/06/2004,B.E.,O,3279,2.88
180000,VISEU,pe,13/06/2004,PDA,O,235,0.21
180000,VISEU,pe,13/06/2004,MPT,O,361,0.32
180000,VISEU,pe,13/06/2004,PCP-PEV,O,2843,2.50
180000,VISEU,pe,13/06/2004,PCTP/MRPP,O,728,0.64
180000,VISEU,pe,13/06/2004,PS,O,46293,40.68
180000,VISEU,pe,13/06/2004,P.H.,O,732,0.64
180000,VISEU,pe,13/06/2004,MD,O,444,0.39
180000,VISEU,pe,13/06/2004,POUS,O,157,0.14
220000,MADEIRA,pe,13/06/2004,PND,O,1281,1.23
220000,MADEIRA,pe,13/06/2004,PPM,O,674,0.65
220000,MADEIRA,pe,13/06/2004,P.N.R.,O,360,0.35
220000,MADEIRA,pe,13/06/2004,PPD/PSD.CDS-PP,O,52416,50.35
220000,MADEIRA,pe,13/06/2004,B.E.,O,3300,3.17
220000,MADEIRA,pe,13/06/2004,PDA,O,439,0.42
220000,MADEIRA,pe,13/06/2004,MPT,O,590,0.57
220000,MADEIRA,pe,13/06/2004,PCP-PEV,O,4988,4.79
220000,MADEIRA,pe,13/06/2004,PCTP/MRPP,O,1259,1.21
220000,MADEIRA,pe,13/06/2004,PS,O,31917,30.66
220000,MADEIRA,pe,13/06/2004,P.H.,O,895,0.86
220000,MADEIRA,pe,13/06/2004,MD,O,1028,0.99
220000,MADEIRA,pe,13/06/2004,POUS,O,459,0.44
750040,EUROPA,pe,13/06/2004,PND,O,81,0.61
750040,EUROPA,pe,13/06/2004,PPM,O,51,0.38
750040,EUROPA,pe,13/06/2004,P.N.R.,O,30,0.23
750040,EUROPA,pe,13/06/2004,PPD/PSD.CDS-PP,O,4709,35.49
750040,EUROPA,pe,13/06/2004,B.E.,O,252,1.90
750040,EUROPA,pe,13/06/2004,PDA,O,19,0.14
750040,EUROPA,pe,13/06/2004,MPT,O,153,1.15
750040,EUROPA,pe,13/06/2004,PCP-PEV,O,615,4.63
750040,EUROPA,pe,13/06/2004,PCTP/MRPP,O,144,1.09
750040,EUROPA,pe,13/06/2004,PS,O,6224,46.91
750040,EUROPA,pe,13/06/2004,P.H.,O,25,0.19
750040,EUROPA,pe,13/06/2004,MD,O,137,1.03
750040,EUROPA,pe,13/06/2004,POUS,O,36,0.27
230000,PORTUGAL,pe,13/06/2004,PND,O,33833,0.99
230000,PORTUGAL,pe,13/06/2004,PPM,O,15454,0.45
230000,PORTUGAL,pe,13/06/2004,PPD/PSD.CDS-PP,O,1132769,33.27
230000,PORTUGAL,pe,13/06/2004,B.E.,O,167313,4.91
230000,PORTUGAL,pe,13/06/2004,PDA,O,5588,0.16
230000,PORTUGAL,pe,13/06/2004,MPT,O,13671,0.40
230000,PORTUGAL,pe,13/06/2004,PCP-PEV,O,309401,9.09
230000,PORTUGAL,pe,13/06/2004,PCTP/MRPP,O,36294,1.07
230000,PORTUGAL,pe,13/06/2004,PS,O,1516001,44.53
230000,PORTUGAL,pe,13/06/2004,P.H.,O,13272,0.39
230000,PORTUGAL,pe,13/06/2004,MD,O,13840,0.41
230000,PORTUGAL,pe,13/06/2004,POUS,O,4275,0.13
400000,Açores,pe,13/06/2004,PND,O,319,0.55
400000,Açores,pe,13/06/2004,PPM,O,253,0.43
400000,Açores,pe,13/06/2004,P.N.R.,O,103,0.18
400000,Açores,pe,13/06/2004,PPD/PSD.CDS-PP,O,23810,40.93
400000,Açores,pe,13/06/2004,B.E.,O,1076,1.85
400000,Açores,pe,13/06/2004,PDA,O,252,0.43
400000,Açores,pe,13/06/2004,MPT,O,137,0.24
400000,Açores,pe,13/06/2004,PCP-PEV,O,976,1.68
400000,Açores,pe,13/06/2004,PCTP/MRPP,O,282,0.48
400000,Açores,pe,13/06/2004,PS,O,28665,49.28
400000,Açores,pe,13/06/2004,P.H.,O,308,0.53
400000,Açores,pe,13/06/2004,MD,O,142,0.24
400000,Açores,pe,13/06/2004,POUS,O,73,0.13
10000,AVEIRO,pe,13/06/2004,PND,O,2588,1.17
140000,SANTARÉM,pe,13/06/2004,PDA,O,224,0.15
70000,ÉVORA,pe,13/06/2004,PS,O,25504,44.51
230000,PORTUGAL,pe,13/06/2004,P.N.R.,O,8405,0.25
