CODIGO,DIST_CONC_FREG,T_ELEI,D_ELEI,SIGLA,T_DADOS,VOTOS,P_VOTOS
230000,PORTUGAL,pe,13/06/1999,B.E.,O,61920,1.79
230000,PORTUGAL,pe,13/06/1999,CDS-PP,O,283067,8.16
230000,PORTUGAL,pe,13/06/1999,MPT,O,13924,0.40
230000,PORTUGAL,pe,13/06/1999,PCP-PEV,O,357671,10.32
230000,PORTUGAL,pe,13/06/1999,PCTP/MRPP,O,30446,0.88
230000,PORTUGAL,pe,13/06/1999,PDA,O,5089,0.15
230000,PORTUGAL,pe,13/06/1999,POUS,O,5565,0.16
230000,PORTUGAL,pe,13/06/1999,PPD/PSD,O,1078528,31.11
230000,PORTUGAL,pe,13/06/1999,PPM,O,16182,0.47
230000,PORTUGAL,pe,13/06/1999,PS,O,1493146,43.07
230000,PORTUGAL,pe,13/06/1999,PSN,O,8413,0.24
