CODIGO,DIST_CONC_FREG,T_ELEI,D_ELEI,SIGLA,T_DADOS,VOTOS,P_VOTOS
230000,PORTUGAL,pe,19/07/1987,CDS,O,868718,15.40
230000,PORTUGAL,pe,19/07/1987,CDU,O,648700,11.50
230000,PORTUGAL,pe,19/07/1987,MDP/CDE,O,27678,0.49
230000,PORTUGAL,pe,19/07/1987,PC(R),O,24060,0.43
230000,PORTUGAL,pe,19/07/1987,PCTP/MRPP,O,19475,0.35
230000,PORTUGAL,pe,19/07/1987,PDC,O,40812,0.72
230000,PORTUGAL,pe,19/07/1987,PPM,O,155990,2.77
230000,PORTUGAL,pe,19/07/1987,PRD,O,250158,4.44
230000,PORTUGAL,pe,19/07/1987,PS,O,1267672,22.48
230000,PORTUGAL,pe,19/07/1987,PPD/PSD,O,2111828,37.45
230000,PORTUGAL,pe,19/07/1987,PSR,O,29009,0.51
230000,PORTUGAL,pe,19/07/1987,UDP,O,52835,0.94
